EPIC Mafia;;;;;;;;;;;;;;
Members;Respect;Best;Avg;Attacks;Leave;Mug;Hosp;War;Assist;Retal;Overseas;Draw;Escape;Loss
JlambJLAMB [3212903];2,368;26.17;12.14;195;131;0;64;195;8;49;0;0;0;20
RipTheJackerRIPTHEJACKER [1953965];1,917;28.30;9.88;194;86;8;100;185;11;73;17;0;0;5
daprinceomarDAPRINCEOMAR [2125322];2,287;29.93;9.98;151;78;0;73;150;9;41;0;0;0;1
FuzzyRight1FUZZYRIGHT1 [2228876];1,757;30.07;11.81;143;83;1;59;142;1;40;0;0;0;8
Monst3rousMONST3ROUS [2189677];2,742;27.63;10.52;140;46;0;94;140;10;37;2;0;0;9
Shindig7SHINDIG7 [3155566];1,41;23.07;12.26;115;94;0;21;115;5;16;0;0;0;8
Caz27CAZ27 [3521451];1,086;18.24;10.45;104;78;2;24;97;10;8;1;1;0;10
CheJCHEJ [2752336];1,212;19.48;11.77;103;89;0;14;103;4;13;1;0;0;6
sloojSLOOJ [3143592];994;23.92;10.25;97;68;1;28;93;4;18;17;0;0;6
JetBeanJETBEAN [2325363];1,45;24.92;12.02;95;59;0;36;95;6;9;17;0;0;3
kirbKIRB [2176411];950;27.17;10.92;87;15;0;72;87;9;34;0;0;0;2
Cyb3rpunkxCYB3RPUNKX [2646329];759;24.89;8.82;86;56;0;30;86;3;25;0;0;0;3
RenderhpRENDERHP [3399414];977;25.72;11.37;86;50;0;36;86;7;27;16;0;0;4
SlayersApexSLAYERSAPEX [3709844];741;17.31;9.04;82;79;0;3;82;3;3;7;0;0;14
SouthieSOUTHIE [2599153];945;21.19;12.30;77;52;0;25;77;4;10;10;0;0;3
DarthBelloqDARTHBELLOQ [2015888];671;20.79;9.07;74;37;0;37;74;11;17;0;2;0;2
neonredNEONRED [2608152];869;17.95;12.24;71;66;0;5;70;0;1;70;0;0;0
BlnkoBLNKO [3654507];513;13.95;7.22;71;66;4;1;65;10;0;12;0;0;9
LeadeatinmaniacLEADEATINMANIAC [3537137];550;13.34;8.60;64;60;1;3;61;7;0;0;0;0;7
AnthonyLorettoANTHONYLORETTO [1858055];437;13.86;6.94;63;62;0;1;63;1;1;0;0;0;1
